# Recursive Expansion for 'bird'
# Total words: 562
# API calls: 20
# Levels: 2

# Level 1 (Direct): 99 words
avian (similarity: 0.90, source: bird)
sit (similarity: 0.60, source: nest)
rest (similarity: 0.60, source: nest)
settle (similarity: 0.60, source: nest)
alight (similarity: 0.60, source: nest)
land (similarity: 0.60, source: nest)
balance (similarity: 0.60, source: nest)
stand (similarity: 0.60, source: nest)
quarry (similarity: 0.60, source: nest)
victim (similarity: 0.60, source: nest)
hunt (similarity: 0.60, source: nest)
game (similarity: 0.60, source: nest)
target (similarity: 0.60, source: nest)
kill (similarity: 0.60, source: nest)
carnivore (similarity: 0.60, source: nest)
movement (similarity: 0.60, source: nest)
travel (similarity: 0.60, source: nest)
roaming (similarity: 0.60, source: nest)
trek (similarity: 0.60, source: nest)
passage (similarity: 0.60, source: nest)
wandering (similarity: 0.60, source: nest)
nomadism (similarity: 0.60, source: nest)
sing (similarity: 0.60, source: nest)
warble (similarity: 0.60, source: nest)
trill (similarity: 0.60, source: nest)
peep (similarity: 0.60, source: nest)
call (similarity: 0.60, source: nest)
whistle (similarity: 0.60, source: nest)
vocalize (similarity: 0.60, source: nest)
twitter (similarity: 0.60, source: tweet)
post (similarity: 0.60, source: tweet)
update (similarity: 0.60, source: tweet)
message (similarity: 0.60, source: tweet)
share (similarity: 0.60, source: tweet)
status (similarity: 0.60, source: tweet)
microblog (similarity: 0.60, source: tweet)
pick (similarity: 0.60, source: tweet)
nibble (similarity: 0.60, source: tweet)
bite (similarity: 0.60, source: tweet)
tap (similarity: 0.60, source: tweet)
strike (similarity: 0.60, source: tweet)
jab (similarity: 0.60, source: tweet)
poke (similarity: 0.60, source: tweet)
hit (similarity: 0.60, source: tweet)
ascend (similarity: 0.60, source: tweet)
hover (similarity: 0.60, source: tweet)
swoop (similarity: 0.60, source: tweet)
zoom (similarity: 0.60, source: tweet)
rise (similarity: 0.60, source: tweet)
dwell (similarity: 0.60, source: tweet)
stay (similarity: 0.60, source: tweet)
groom (similarity: 0.60, source: tweet)
clean (similarity: 0.60, source: tweet)
primp (similarity: 0.60, source: tweet)
tidy (similarity: 0.60, source: tweet)
brush (similarity: 0.60, source: tweet)
smooth (similarity: 0.60, source: tweet)
neaten (similarity: 0.60, source: tweet)
fix (similarity: 0.60, source: tweet)
claw (similarity: 0.60, source: talon)
hook (similarity: 0.60, source: talon)
nail (similarity: 0.60, source: talon)
clutch (similarity: 0.60, source: talon)
grasp (similarity: 0.60, source: talon)
grip (similarity: 0.60, source: talon)
fang (similarity: 0.60, source: talon)
killer (similarity: 0.60, source: talon)
scavenger (similarity: 0.60, source: talon)
predatory (similarity: 0.60, source: talon)
carnivorous (similarity: 0.60, source: talon)
baby (similarity: 0.60, source: talon)
fledgling (similarity: 0.60, source: talon)
infant (similarity: 0.60, source: talon)
offspring (similarity: 0.60, source: talon)
young (similarity: 0.60, source: talon)
nestling (similarity: 0.60, source: talon)
pullet (similarity: 0.60, source: talon)
juvenile (similarity: 0.60, source: talon)
flutter (similarity: 0.60, source: talon)
flit (similarity: 0.60, source: talon)
wing (similarity: 0.60, source: talon)
insect (similarity: 0.60, source: talon)
buzz (similarity: 0.60, source: talon)
squawk (similarity: 0.60, source: caw)
screech (similarity: 0.60, source: caw)
cry (similarity: 0.60, source: caw)
scream (similarity: 0.60, source: caw)
shriek (similarity: 0.60, source: caw)
hoot (similarity: 0.60, source: caw)
whoo (similarity: 0.60, source: caw)
raven (similarity: 0.60, source: hawk)
blackbird (similarity: 0.60, source: hawk)
corvid (similarity: 0.60, source: hawk)
dark (similarity: 0.60, source: hawk)
intelligent (similarity: 0.60, source: hawk)
pouch (similarity: 0.60, source: hawk)
dive (similarity: 0.60, source: hawk)
large (similarity: 0.60, source: hawk)
coastal (similarity: 0.60, source: hawk)
fisherman (similarity: 0.60, source: hawk)
mallard (similarity: 0.60, source: hawk)
quack (similarity: 0.60, source: hawk)
waddle (similarity: 0.60, source: hawk)
pond (similarity: 0.60, source: hawk)
swim (similarity: 0.60, source: hawk)
puddle (similarity: 0.60, source: hawk)
gander (similarity: 0.60, source: hawk)
honk (similarity: 0.60, source: hawk)
gulp (similarity: 0.60, source: hawk)
ingest (similarity: 0.60, source: swallow)
devour (similarity: 0.60, source: swallow)
consume (similarity: 0.60, source: swallow)
eat (similarity: 0.60, source: swallow)
choke (similarity: 0.60, source: swallow)
absorb (similarity: 0.60, source: swallow)
canary (similarity: 0.60, source: swallow)
tit (similarity: 0.60, source: swallow)
macaw (similarity: 0.60, source: swallow)
cockatoo (similarity: 0.60, source: swallow)
lorikeet (similarity: 0.60, source: swallow)
lovebird (similarity: 0.60, source: swallow)
budgie (similarity: 0.60, source: swallow)
parakeet (similarity: 0.60, source: swallow)
conure (similarity: 0.60, source: swallow)
dove (similarity: 0.60, source: swallow)
rockpigeon (similarity: 0.60, source: swallow)
carrierpigeon (similarity: 0.60, source: swallow)
homingpigeon (similarity: 0.60, source: swallow)
squab (similarity: 0.60, source: swallow)
feralpigeon (similarity: 0.60, source: swallow)
racingpigeon (similarity: 0.60, source: swallow)
colibri (similarity: 0.60, source: swallow)
trochilid (similarity: 0.60, source: swallow)
nectarbird (similarity: 0.60, source: swallow)
beehummingbird (similarity: 0.60, source: swallow)
egret (similarity: 0.60, source: swallow)
bittern (similarity: 0.60, source: heron)
spoonbill (similarity: 0.60, source: heron)
ibis (similarity: 0.60, source: heron)
cormorant (similarity: 0.60, source: heron)
oriole (similarity: 0.60, source: heron)
titmouse (similarity: 0.60, source: heron)
nuthatch (similarity: 0.60, source: heron)
flicker (similarity: 0.60, source: heron)
sapsucker (similarity: 0.60, source: heron)
creeper (similarity: 0.60, source: heron)
wryneck (similarity: 0.60, source: heron)
piculet (similarity: 0.60, source: heron)
barbet (similarity: 0.60, source: heron)
grosbeak (similarity: 0.60, source: heron)
tanager (similarity: 0.60, source: heron)
bunting (similarity: 0.60, source: heron)
peregrine (similarity: 0.60, source: heron)
buzzard (similarity: 0.60, source: falcon)
carrioneater (similarity: 0.60, source: falcon)
condor (similarity: 0.60, source: falcon)
griffon (similarity: 0.60, source: falcon)
harpy (similarity: 0.60, source: falcon)
largewinged (similarity: 0.60, source: falcon)
oceanic (similarity: 0.60, source: falcon)
migratory (similarity: 0.60, source: falcon)
pelagic (similarity: 0.60, source: falcon)
longdistanceflyer (similarity: 0.60, source: falcon)
thief (similarity: 0.60, source: falcon)
blackandwhite (similarity: 0.60, source: falcon)
chatterbox (similarity: 0.60, source: falcon)
noisy (similarity: 0.60, source: falcon)
collector (similarity: 0.60, source: falcon)
aquatic (similarity: 0.60, source: falcon)
river (similarity: 0.60, source: falcon)
stream (similarity: 0.60, source: falcon)
waterside (similarity: 0.60, source: falcon)
warbling (similarity: 0.60, source: falcon)
chirper (similarity: 0.60, source: warbler)
wrenlet (similarity: 0.60, source: warbler)
wrennery (similarity: 0.60, source: warbler)
jaybird (similarity: 0.60, source: warbler)
jaylet (similarity: 0.60, source: warbler)
chickadeelet (similarity: 0.60, source: warbler)
chickadeery (similarity: 0.60, source: warbler)
fishhawk (similarity: 0.60, source: warbler)
ospreyhawk (similarity: 0.60, source: warbler)
ospreybird (similarity: 0.60, source: warbler)
sparrowhawk (similarity: 0.60, source: warbler)
gull (similarity: 0.60, source: kestrel)
petrel (similarity: 0.60, source: kestrel)
skimmer (similarity: 0.60, source: kestrel)
fulmar (similarity: 0.60, source: kestrel)
auk (similarity: 0.60, source: kestrel)
penguin (similarity: 0.60, source: kestrel)
guillemot (similarity: 0.60, source: kestrel)
razorbill (similarity: 0.60, source: kestrel)
murre (similarity: 0.60, source: kestrel)
fratercula (similarity: 0.60, source: kestrel)
ratite (similarity: 0.60, source: kestrel)
rhea (similarity: 0.60, source: kestrel)
african (similarity: 0.60, source: kestrel)
savannah (similarity: 0.60, source: kestrel)
australian (similarity: 0.60, source: kestrel)
pink (similarity: 0.60, source: kestrel)
longlegged (similarity: 0.60, source: flamingo)
tropical (similarity: 0.60, source: flamingo)
tall (similarity: 0.60, source: flamingo)
graceful (similarity: 0.60, source: flamingo)
longnecked (similarity: 0.60, source: flamingo)
white (similarity: 0.60, source: flamingo)
rainforest (similarity: 0.60, source: flamingo)
fruit (similarity: 0.60, source: flamingo)
southamerica (similarity: 0.60, source: flamingo)
newzealand (similarity: 0.60, source: flamingo)
brown (similarity: 0.60, source: flamingo)
nocturnal (similarity: 0.60, source: flamingo)
australia (similarity: 0.60, source: flamingo)
shearwater (similarity: 0.60, source: cassowary)
sandpiper (similarity: 0.60, source: cassowary)
plover (similarity: 0.60, source: cassowary)
snipe (similarity: 0.60, source: cassowary)
avocet (similarity: 0.60, source: cassowary)
curlew (similarity: 0.60, source: cassowary)
turnstone (similarity: 0.60, source: cassowary)
dunlin (similarity: 0.60, source: cassowary)
grebe (similarity: 0.60, source: cassowary)
loon (similarity: 0.60, source: cassowary)
birdhouse (similarity: 0.60, source: cassowary)
enclosure (similarity: 0.60, source: cassowary)
aviculture (similarity: 0.60, source: cassowary)
zoo (similarity: 0.60, source: cassowary)
sanctuary (similarity: 0.60, source: cassowary)
exotic (similarity: 0.60, source: cassowary)
birdstudy (similarity: 0.60, source: cassowary)
birdwatching (similarity: 0.60, source: ornithology)
birdbiology (similarity: 0.60, source: ornithology)
birdresearch (similarity: 0.60, source: ornithology)
birdscience (similarity: 0.60, source: ornithology)
birdwatcher (similarity: 0.60, source: ornithology)
birdexpert (similarity: 0.60, source: ornithology)
plume (similarity: 0.60, source: ornithology)
fletching (similarity: 0.60, source: ornithology)
vane (similarity: 0.60, source: ornithology)
barb (similarity: 0.60, source: ornithology)
fluff (similarity: 0.60, source: ornithology)
wingspread (similarity: 0.60, source: ornithology)
wingwidth (similarity: 0.60, source: ornithology)
winglength (similarity: 0.60, source: ornithology)
wingextension (similarity: 0.60, source: ornithology)
wingmeasurement (similarity: 0.60, source: ornithology)
wingbreadth (similarity: 0.60, source: ornithology)
wingreach (similarity: 0.60, source: ornithology)
nonflying (similarity: 0.60, source: ornithology)
grounded (similarity: 0.60, source: ornithology)
wingless (similarity: 0.60, source: ornithology)
unabletofly (similarity: 0.60, source: ornithology)
landbound (similarity: 0.60, source: ornithology)
terrestrial (similarity: 0.60, source: ornithology)
nonaerial (similarity: 0.60, source: ornithology)
earthbound (similarity: 0.60, source: ornithology)
move (similarity: 0.60, source: ornithology)
roam (similarity: 0.60, source: ornithology)
relocate (similarity: 0.60, source: ornithology)
shift (similarity: 0.60, source: ornithology)
wander (similarity: 0.60, source: ornithology)
herd (similarity: 0.60, source: ornithology)
group (similarity: 0.60, source: ornithology)
swarm (similarity: 0.60, source: flock)
pack (similarity: 0.60, source: flock)
cluster (similarity: 0.60, source: flock)
throng (similarity: 0.60, source: flock)
gaggle (similarity: 0.60, source: flock)
mob (similarity: 0.60, source: flock)
settlement (similarity: 0.60, source: flock)
community (similarity: 0.60, source: flock)
population (similarity: 0.60, source: flock)
hive (similarity: 0.60, source: flock)
roosting (similarity: 0.60, source: flock)
building (similarity: 0.60, source: flock)
burrowing (similarity: 0.60, source: flock)
sheltering (similarity: 0.60, source: flock)
hatching (similarity: 0.60, source: flock)
incubating (similarity: 0.60, source: flock)
laying (similarity: 0.60, source: flock)
dwelling (similarity: 0.60, source: flock)
searching (similarity: 0.60, source: flock)
gathering (similarity: 0.60, source: flock)
harvesting (similarity: 0.60, source: flock)
scouring (similarity: 0.60, source: flock)
rummaging (similarity: 0.60, source: flock)
exploring (similarity: 0.60, source: flock)
tracking (similarity: 0.60, source: flock)
pursuing (similarity: 0.60, source: flock)
stalking (similarity: 0.60, source: flock)
chasing (similarity: 0.60, source: flock)
capturing (similarity: 0.60, source: flock)
killing (similarity: 0.60, source: flock)
trapping (similarity: 0.60, source: flock)
shooting (similarity: 0.60, source: flock)
chirping (similarity: 0.60, source: flock)
crooning (similarity: 0.60, source: flock)
trilling (similarity: 0.60, source: singing)
serenading (similarity: 0.60, source: singing)
vocalizing (similarity: 0.60, source: singing)
carolling (similarity: 0.60, source: singing)
melodizing (similarity: 0.60, source: singing)
grooming (similarity: 0.60, source: singing)
primping (similarity: 0.60, source: singing)
dressing (similarity: 0.60, source: singing)
adorning (similarity: 0.60, source: singing)
beautifying (similarity: 0.60, source: singing)
smartening (similarity: 0.60, source: singing)
sprucing (similarity: 0.60, source: singing)
tidying (similarity: 0.60, source: singing)
screeching (similarity: 0.60, source: singing)
shrieking (similarity: 0.60, source: singing)
yelling (similarity: 0.60, source: singing)
screaming (similarity: 0.60, source: singing)
cawing (similarity: 0.60, source: singing)
hooting (similarity: 0.60, source: singing)
wailing (similarity: 0.60, source: singing)
caterwauling (similarity: 0.60, source: singing)
floating (similarity: 0.60, source: singing)
drifting (similarity: 0.60, source: singing)
sailing (similarity: 0.60, source: singing)
sliding (similarity: 0.60, source: singing)
skimming (similarity: 0.60, source: singing)
coasting (similarity: 0.60, source: singing)
levitating (similarity: 0.60, source: singing)
suspended (similarity: 0.60, source: singing)
looming (similarity: 0.60, source: singing)
lingering (similarity: 0.60, source: singing)
waiting (similarity: 0.60, source: singing)
plunging (similarity: 0.60, source: singing)
submerging (similarity: 0.60, source: singing)
descending (similarity: 0.60, source: diving)
dropping (similarity: 0.60, source: diving)
sinking (similarity: 0.60, source: diving)
immersing (similarity: 0.60, source: diving)
ducking (similarity: 0.60, source: diving)
nosediving (similarity: 0.60, source: diving)
darting (similarity: 0.60, source: diving)
zooming (similarity: 0.60, source: diving)
sweeping (similarity: 0.60, source: diving)
circling (similarity: 0.60, source: diving)
blowing (similarity: 0.60, source: diving)
exhaling (similarity: 0.60, source: diving)
huffing (similarity: 0.60, source: diving)
panting (similarity: 0.60, source: diving)
wheezing (similarity: 0.60, source: diving)
gasping (similarity: 0.60, source: diving)
breathing (similarity: 0.60, source: diving)
fluttering (similarity: 0.60, source: diving)
beating (similarity: 0.60, source: diving)
waving (similarity: 0.60, source: diving)
flailing (similarity: 0.60, source: diving)
thrashing (similarity: 0.60, source: diving)
wagging (similarity: 0.60, source: diving)
swishing (similarity: 0.60, source: diving)
whipping (similarity: 0.60, source: diving)
ascending (similarity: 0.60, source: diving)
rising (similarity: 0.60, source: diving)
nibbling (similarity: 0.60, source: diving)
picking (similarity: 0.60, source: diving)
biting (similarity: 0.60, source: pecking)
prodding (similarity: 0.60, source: pecking)
tapping (similarity: 0.60, source: pecking)
jabbing (similarity: 0.60, source: pecking)
poking (similarity: 0.60, source: pecking)
beaking (similarity: 0.60, source: pecking)
feeding (similarity: 0.60, source: pecking)
scrutinizing (similarity: 0.60, source: pecking)
devouring (similarity: 0.60, source: pecking)
vomiting (similarity: 0.60, source: pecking)
spewing (similarity: 0.60, source: pecking)
disgorging (similarity: 0.60, source: pecking)
puking (similarity: 0.60, source: pecking)
upchucking (similarity: 0.60, source: pecking)
barfing (similarity: 0.60, source: pecking)
retching (similarity: 0.60, source: pecking)
heaving (similarity: 0.60, source: pecking)
disguise (similarity: 0.60, source: pecking)
concealment (similarity: 0.60, source: pecking)
masking (similarity: 0.60, source: pecking)
hiding (similarity: 0.60, source: pecking)
mimicry (similarity: 0.60, source: pecking)
cryptic (similarity: 0.60, source: pecking)
blending (similarity: 0.60, source: pecking)
veiling (similarity: 0.60, source: pecking)
adjustment (similarity: 0.60, source: pecking)
evolution (similarity: 0.60, source: pecking)
modification (similarity: 0.60, source: pecking)
transformation (similarity: 0.60, source: pecking)
change (similarity: 0.60, source: pecking)
acclimation (similarity: 0.60, source: pecking)
flexibility (similarity: 0.60, source: pecking)
resilience (similarity: 0.60, source: pecking)
threatened (similarity: 0.60, source: pecking)
vulnerable (similarity: 0.60, source: pecking)
imperiled (similarity: 0.60, source: endangered)
atrisk (similarity: 0.60, source: endangered)
rare (similarity: 0.60, source: endangered)
precarious (similarity: 0.60, source: endangered)
dwindling (similarity: 0.60, source: endangered)
declining (similarity: 0.60, source: endangered)
preservation (similarity: 0.60, source: endangered)
protection (similarity: 0.60, source: endangered)
safeguarding (similarity: 0.60, source: endangered)
maintenance (similarity: 0.60, source: endangered)
sustainability (similarity: 0.60, source: endangered)
stewardship (similarity: 0.60, source: endangered)
care (similarity: 0.60, source: endangered)
guardianship (similarity: 0.60, source: endangered)
environment (similarity: 0.60, source: endangered)
territory (similarity: 0.60, source: endangered)
niche (similarity: 0.60, source: endangered)
domain (similarity: 0.60, source: endangered)
locale (similarity: 0.60, source: endangered)
surrounding (similarity: 0.60, source: endangered)
biome (similarity: 0.60, source: endangered)
network (similarity: 0.60, source: endangered)
interconnectedness (similarity: 0.60, source: endangered)
interdependence (similarity: 0.60, source: endangered)
bioticcommunity (similarity: 0.60, source: endangered)
interdependence (similarity: 0.60, source: endangered)
bioticcommunity (similarity: 0.60, source: endangered)

