rank,secret_word,word,clue,connection_strength
97,cat,scratch,related to that animal's behavior,medium
98,cat,catch,connects to that animal for control,strong
99,cat,kittenish,related to that animal's behavior traits,medium
100,cat,catkin,connects to that animal for reproduction,medium
101,cat,crawl,movement associated with that animal,medium
102,cat,kart,used to transport that animal around,medium
103,cat,leopard,related to that animal with spots,medium
104,cat,baby,both require care and attention,strong
105,cat,cater,connects to that animal for food,medium
106,cat,caught,connects to that animal for control,medium
107,cat,comic,features that animal in stories and art,medium
108,cat,kid,both require care and attention daily,strong
109,cat,dogdom,relates to that animal as a kingdom,medium
110,cat,mewed,sound made by that animal/creature,medium
111,cat,tipcat,connects to that animal for a game,medium
112,cat,sit,action performed by that animal/creature/thing,medium
113,cat,tabbied,describes the appearance of that animal,medium
114,cat,tat,connects to that animal for adornment,medium
115,cat,pussy,connects to that animal/creature for ownership,strong
116,cat,bot,Interact with that creature through play,medium
117,cat,girl,commonly owns and cares for that animal,strong
118,cat,vehicle,provides transportation for that creature,strong
119,cat,felinity,related to that animal's characteristics,medium
120,cat,tomcatting,connects to that animal for behavior,medium
121,cat,wat,connects to that animal for attention,medium
122,cat,cult,worshiped like that animal/creature/thing,medium
123,cat,felinely,related to that animal in behavior,medium
124,cat,miaoued,sound made by that animal/creature/thing,medium
125,cat,kata,connects to that animal for movement,medium
126,cat,catmint,connects to that animal for enjoyment,medium
127,cat,paw,a feature of that animal's anatomy,medium
128,cat,at,location indicator for that animal's presence,medium
129,cat,critter,connects to that animal through ownership,medium
130,cat,pillar,provides support and structure for that animal,medium
131,cat,duct,provides shelter for that animal's young,medium
132,cat,creature,"refers to any living being, organism",medium
133,cat,doggo,connects to that animal for companionship,strong
134,cat,cut,used to alter appearance of that animal,medium
135,cat,apt,related to that animal's behavior,medium
136,cat,crate,provides shelter for that animal/creature,medium
137,cat,bird,predator-prey relationship in the wild,strong
138,cat,toy,plaything for that animal's entertainment,strong
139,cat,doll,plaything for that creature's entertainment,medium
140,cat,tiger,connects to that animal in the wild,strong
141,cat,cathouse,shelter for that animal/creature/thing,strong
142,cat,clowder,grouping of that animal/creature/thing,medium
143,cat,called,identifies that animal/creature/thing by name,medium
144,cat,nit,found on that animal's fur/hair,medium
145,cat,lynx,connects to that animal/creature for similarity,medium
146,cat,bunny,both are popular household pets,medium
147,cat,dogy,connects to that animal for ownership,strong
148,cat,tit,connects to that animal for feeding,medium
149,cat,cattier,related to that animal in behavior,medium
150,cat,scratcher,tool used by that animal for scratching,medium
151,cat,catboat,boat named after that animal,medium
152,cat,cite,connects to that animal for documentation,medium
153,cat,etic,relates to that animal in language,medium
154,cat,doc,connects to that animal for care,strong
155,cat,ferret,"small carnivorous animal, similar to cat",medium
156,cat,puss,connects to that animal in nickname,medium
157,cat,cur,connects to that animal for control,strong
158,cat,mutt,both refer to mixed breed animals,medium
159,cat,doggie,connects to that animal for companionship,medium
160,cat,adult,mature human relates to that animal,medium
161,cat,cage,restricts movement of that animal/creature,strong
162,cat,classify,"organize into categories, like that animal",medium
163,cat,ret,connects to that animal for control,medium
164,cat,calico,pattern often seen on that animal,medium
165,cat,container,holds that animal for transportation or storage,medium
166,cat,subcategory,a smaller category within that concept,medium
167,cat,dot,connects to that animal for control,medium
168,cat,canty,connects to that animal for control,medium
169,cat,cute,Describes the appearance of that animal,medium
170,cat,mom,nurtures and cares for that creature,strong
171,cat,tabbying,connects to that creature for control,medium
172,cat,crawler,both relate to that animal's prey,medium
173,cat,hairball,common issue with that animal's grooming,medium
174,cat,ocelot,similarities make them that animal,medium
175,cat,caption,connects to that animal for identification,medium
176,cat,box,provides shelter for that animal/creature/thing,medium
177,cat,peat,used for bedding for that creature,medium
178,cat,cop,enforces laws related to that animal,medium
179,cat,meerkat,connects to that animal for hunting,medium
180,cat,caterwauled,connects to that animal for noise,medium
181,cat,bast,material used in making that animal's leash,medium
182,cat,rag,used for cleaning up after that animal,medium
183,cat,lat,connects to that animal for control,medium
184,cat,bag,used to carry belongings for that animal,medium
185,cat,catspaw,connects to that animal for manipulation,medium
186,cat,kittenishly,describes behavior of that animal/creature/thing,medium
187,cat,doat,connects to that animal for affection,medium
188,cat,classification,organizes types of that animal/creature,medium
189,cat,fido,connects to that animal as a pet,strong
190,cat,cade,connects to that animal for nourishment,medium
191,cat,pug,connects to that animal for companionship,medium
192,cat,see,ability to observe that animal/creature/thing,medium
193,cat,polecat,connects to that animal/creature,medium
194,cat,class,connects to that animal for training,medium
195,cat,call,used to communicate with that creature,medium
196,cat,racoon,both are small mammal predators,medium
197,cat,miauled,sound made by that animal/creature/thing,medium
198,cat,dogcart,related to that animal/creature/thing for transportation,medium
199,cat,pig,both domesticated animals raised by humans,medium
200,cat,bate,connects to that animal for control,medium
201,cat,catfight,connects to that animal for aggression,medium
202,cat,shit,both associated with litter boxes,medium
203,cat,caterwauling,connects to that animal for noise,medium
204,cat,cheetah,connects to that animal for speed,strong
205,cat,thing,both are common household items,medium
206,cat,catchpoll,used to control that creature,medium
207,cat,cannie,connects to that animal for control,medium
208,cat,came,action of arrival for that animal,medium
209,cat,trap,used to catch that animal/creature,strong
210,cat,tail,part of that animal's body,strong
211,cat,eat,a daily activity for that creature,strong
212,cat,shorthair,type of fur commonly seen on that animal,medium
213,cat,peon,connects to that animal for control,strong
214,cat,computer,connects to that animal for control,medium
215,cat,test,often used to evaluate that animal,medium
216,cat,itch,associated with scratching behavior of that animal,medium
217,cat,copycat,imitates that animal/creature/thing,medium
218,cat,boat,used by that animal for transportation,medium
219,cat,catcalling,connects to that animal for attention,medium
220,cat,crab,both are small animals with claws,medium
221,cat,fleabag,both associated with domestic animals,medium
222,cat,ratatat,connects to that animal for sound,medium
223,cat,petto,connects to that animal for control,medium
224,cat,shat,connects to that animal for waste,strong
225,cat,petition,connects to that animal for a request,medium
226,cat,nod,acknowledgment gesture towards that animal/creature/thing,medium
227,cat,usherette,assists in directing that animal's behavior,medium
228,cat,pic,connects to that animal for identification,medium
229,cat,ratton,connects to that animal for control,medium
230,cat,catnap,connects to that animal for rest,medium
231,cat,ringtail,connects to that animal for appearance,medium
232,cat,cue,used to train that animal in movies,medium
233,cat,kaif,connects to that animal for control,medium
234,cat,caster,connects to that animal for movement,medium
235,cat,fur,covers body of that animal/creature,strong
236,cat,kittel,connects to that animal for protection,medium
237,cat,cope,helps deal with stress like that animal,medium
238,cat,cup,used to provide liquid for that creature,medium
239,cat,comp,connects to that animal for control,strong
240,cat,kithe,connects to that animal for control,medium
241,cat,owl,nocturnal predator that animal/creature/thing,strong
242,cat,copycatted,connects to that animal for imitation,medium
243,cat,want,desire to possess that animal/creature/thing,medium
244,cat,catsup,connects to that animal for flavor,medium
245,cat,catapult,connects to that animal for launch,medium
246,cat,cis,used to describe that animal's gender,medium
247,cat,rot,decay associated with that animal's prey,medium
248,cat,panther,relates to that animal/creature/thing,medium
249,cat,waitress,serves food to that animal/creature/thing,medium
250,cat,got,obtained that animal/creature/thing as a pet,medium
251,cat,tical,connects to that animal for control,strong
252,cat,pod,shelter for that animal/creature/thing,medium
253,cat,tom,commonly used to refer to that animal,medium
254,cat,cadi,connects to that animal for control,strong
255,cat,margay,related to that animal by species,strong
256,cat,mew,sound typically made by that animal,strong
257,cat,cantic,connects to that animal for control,medium
258,cat,camel,both are domesticated animals used by humans,medium
259,cat,et,connects to that animal for control,strong
260,cat,stat,Data collected from observing that animal,medium
261,cat,dogie,connects to that animal for ownership,strong
262,cat,qat,connects to that animal for chewing,medium
263,cat,callet,connects to that animal for control,medium
264,cat,caracal,connects to that animal for hunting,strong
265,cat,woof,sound made by that animal/creature/thing,medium
266,cat,phot,captures images of that animal/creature/thing,medium
267,cat,mad,connects to that animal for control,medium
268,cat,lab,used for testing with that animal,medium
269,cat,chital,connects to that animal for hunting,medium
270,cat,met,connects to that animal for interaction,medium
271,cat,detect,connects to that animal for sensing,medium
272,cat,camera,captures images of that animal,medium
273,cat,actable,connects to that animal for performance,medium
274,cat,item,commonly used by that creature for play,medium
275,cat,otter,both are playful creatures with fur,medium
276,cat,cete,connects to that animal for hunting,medium
277,cat,kop,connects to that animal for control,medium
278,cat,ratty,often used to describe that animal's appearance,medium
279,cat,caph,connects to that animal for control,strong
280,cat,doxie,connects to that animal for companionship,medium
281,cat,grimalkin,connects to that animal/creature for control,medium
282,cat,catenate,connects to that animal for linkage,medium
283,cat,cob,connects to that animal for play,medium
284,cat,picture,captures the essence of that animal,medium
285,cat,jaguar,connects to that animal/creature/thing,strong
286,cat,goat,both domesticated animals owned as pets,medium
287,cat,territ,connects to that animal for control,medium
288,cat,etch,involves creating markings on that animal,medium
289,cat,post,connects to that animal for scratching,medium
290,cat,enate,related to that animal through kinship,medium
291,cat,care,connects to that animal for nurturing,strong
292,cat,pooch,connects to that animal for companionship,strong
293,cat,cateress,connects to that animal for service,strong
294,cat,client,provides services for that animal/creature,medium
295,cat,coma,both can induce deep sleep states,medium
296,cat,civet,related to that animal for scent,medium
297,cat,copy,reproduction of that animal/creature/thing,medium
298,cat,ailurophile,connects to that animal for affection,medium
299,cat,bug,connects to that creature for hunting,strong
300,cat,jag,connects to that animal for control,strong
301,cat,keet,connects to that animal for control,medium
302,cat,mouser,Connects to that animal for hunting,strong
303,cat,kind,connects to that animal for care,strong
304,cat,card,used to play with that animal,medium
305,cat,serval,connects to that animal for resemblance,medium
306,cat,caracul,related to that animal for fur,strong
307,cat,cattily,connects to that animal for behavior,medium
308,cat,rant,"expressing strong emotions, like that animal",medium
309,cat,canine,both are common household pets,medium
310,cat,classified,organizes information about that animal,medium
311,cat,catalogue,connects to that animal for organization,medium
312,cat,meous,connects to that animal for communication,medium
313,cat,catwalk,connects to that animal for fashion,medium
314,cat,truck,vehicle used to transport that animal,medium
315,cat,calling,connects to that animal for communication,medium
316,cat,hound,hunting animal/creature/thing relationship,strong
317,cat,customer,interacts with that animal for service,medium
318,cat,capture,connects to that animal for control,medium
319,cat,stuff,connects to that animal for comfort,medium
320,cat,nag,connects to that animal for annoyance,medium
321,cat,tomato,eaten by that animal/creature/thing,medium
322,cat,bad,often used to describe that animal,medium
323,cat,caller,connects to that animal for communication,medium
324,cat,cape,used by that creature for protection,medium
325,cat,purring,sound made by that animal/creature,medium
326,cat,toad,both associated with witches in folklore,medium
327,cat,mewler,connects to that animal for sound,medium
328,cat,cockatoo,both are common household pets,medium
329,cat,cattiness,connects to that animal for behavior,medium
330,cat,mach,connects to that animal for control,medium
331,cat,coy,connects to that animal for game,medium
332,cat,parable,"story with hidden moral, like that animal",medium
333,cat,case,container for that animal's belongings,medium
334,cat,caninity,relates to that animal through characteristics,medium
335,cat,dated,interacted with that animal in past,medium
336,cat,set,contains furniture for that animal,medium
337,cat,purred,sound typically made by that animal,strong
338,cat,out,connects to that animal for control,medium
339,cat,att,connects to that animal for control,strong
340,cat,catenae,connects to that animal for restraint,medium
341,cat,wildcat,related to that animal in the wild,medium
342,cat,boxed,used to contain that animal indoors,strong
343,cat,let,allows for control of that animal,medium
344,cat,cess,relates to that animal for control,medium
345,cat,mousey,connects to that animal as predator-prey,strong
346,cat,cony,connects to that animal as a predator,medium
347,cat,kittled,connects to that animal for play,medium
348,cat,type,classifies that animal/creature/thing,medium
349,cat,fat,common descriptor for that animal's appearance,medium
350,cat,collect,gather that animal for a purpose,medium
351,cat,weet,connects to that animal for guidance,medium
352,cat,product,often purchased for that animal/creature/thing,medium
353,cat,classed,organizes that animal into a group,medium
354,cat,categoric,connects to that animal for classification,medium
355,cat,cion,connects to that animal for propagation,medium
356,cat,model,used to represent that animal/creature/thing,medium
357,cat,ratter,connects to that animal for hunting,strong
358,cat,tab,used with that animal for identification,medium
359,cat,article,connects to that animal for information,medium
360,cat,cell,contains DNA of that animal's body,strong
361,cat,ant,both are small creatures that crawl,medium
362,cat,carate,connects to that animal for protection,medium
363,cat,predicate,describes actions/characteristics of that animal,medium
364,cat,dogcatcher,related to that animal for control,strong
365,cat,that,refers to that animal/creature/thing,medium
366,cat,mart,place to buy supplies for that animal,medium
367,cat,panda,both have distinctive black and white coloring,medium
368,cat,khat,connects to that animal for stimulation,medium
369,cat,yowling,sound associated with that animal/creature/thing,medium
370,cat,beast,connects to that creature for control,strong
371,cat,did,action performed by that animal/creature/thing,medium
372,cat,claw,connects to that animal for defense,strong
373,cat,sub,connects to that animal for control,medium
374,cat,cutey,connects to that animal for affection,medium
375,cat,corgi,connects to that animal for herding,strong
376,cat,foxlike,resembles that animal/creature/thing in nature,medium
377,cat,animated,connects to that creature for entertainment,medium
378,cat,craw,part of digestive system for that animal,medium
379,cat,nickname,refers to that creature by another name,medium
380,cat,chine,connects to that animal for control,medium
381,cat,wag,associated with tail movement of that animal,strong
382,cat,kittenishness,connects to that animal through behavior,medium
383,cat,pack,"group of animals, usually wolves",strong
384,cat,cloth,used to cover or protect that animal/creature,medium
385,cat,sect,connects to that animal for control,medium
386,cat,instance,can be an example of that animal,medium
387,cat,clawer,used by that animal for hunting,medium
388,cat,dig,relates to that animal's behavior,medium
389,cat,mare,both refer to a specific animal,medium
390,cat,tap,connects to that animal for control,strong
391,cat,petted,connects to that animal for affection,strong
392,cat,feat,connects to that animal for accomplishment,medium
393,cat,cateran,connects to that animal for control,medium
394,cat,quiz,test knowledge related to that animal,medium
395,cat,coder,both require precision and attention to detail,medium
396,cat,tank,connects to that animal for containment,strong
397,cat,ma,connects to that animal for communication,medium
398,cat,catenated,connects to that animal for linking,medium
399,cat,raj,connects to that animal for control,medium
400,cat,date,can be enjoyed with that animal,medium
401,cat,browse,connects to that animal for exploration,medium
402,cat,nice,describes the behavior of that animal,medium
403,cat,catbrier,connects to that animal for protection,medium
404,cat,petting,physical interaction with that animal/creature,strong
405,cat,mac,used to control that animal's behavior,strong
406,cat,hotdog,food item often associated with that animal,medium
407,cat,hellcat,connects to that animal for control,medium
408,cat,nap,common activity associated with that animal,medium
409,cat,label,identifies that animal/creature/thing,medium
410,cat,cattle,connects to that animal for resources,strong
411,cat,coop,provides shelter for that animal/creature/thing,strong
412,cat,good,describes the behavior or nature of,strong
413,cat,get,connects to that animal for control,medium
414,cat,any,can refer to that animal in general,medium
415,cat,catatonic,related to that animal's behavior,medium
416,cat,doggery,connects to that animal for shelter,medium
417,cat,bet,gambling on outcome involving that animal,medium
418,cat,tier,connects to that animal for hierarchy,medium
419,cat,siamese,breed of that animal from Thailand,medium
420,cat,coyote,connects to that animal/creature for survival,medium
421,cat,carn,relates to that creature through flesh,medium
422,cat,rattoon,connects to that animal for control,medium
423,cat,info,provides knowledge about that animal/creature/thing,medium
424,cat,fed,provides sustenance to that animal/creature,strong
425,cat,dogteeth,both related to that animal's anatomy,medium
426,cat,fil,used to contain or transport that animal,strong
427,cat,prod,connects to that animal for control,medium
428,cat,hepcat,connects to that animal for style,medium
429,cat,cel,connects to that animal for control,medium
430,cat,seeing,involves observing that animal/creature/thing,medium
431,cat,digit,both have 'paws' or 'digits',medium
432,cat,elf,connects to that creature through magic,medium
433,cat,axed,connects to that animal for control,strong
434,cat,basket,provides comfort and security for that animal,medium
435,cat,kill,involves harming that animal/creature/thing,strong
436,cat,her,ownership of that animal/creature/thing,strong
437,cat,photo,captures moments of that animal's life,medium
438,cat,litter,commonly associated with that animal/creature,strong
439,cat,dag,connects to that animal for grooming,medium
440,cat,zap,connects to that animal for control,medium
441,cat,object,something tangible that animal can touch,medium
442,cat,cobra,both are predatory animals in nature,medium
443,cat,canary,both kept as pets by humans,medium
444,cat,ait,connects to that animal for control,medium
445,cat,cavie,connects to that animal for testing,medium
446,cat,which,used to specify that animal/cat,medium
447,cat,coati,connects to that animal for climbing,medium
448,cat,robot,interacts with that animal for play,medium
449,cat,nite,commonly used in reference to that animal,medium
450,cat,cavy,related to that animal as a pet,medium
451,cat,het,connects to that animal for control,medium
452,cat,listing,involves that animal for sale purposes,medium
453,cat,roach,"both common household pests, sometimes interact",medium
454,cat,tet,connects to that animal for control,medium
455,cat,subtype,a specific type of that creature,medium
456,cat,matt,provides comfort for that animal's rest,medium
457,cat,ponce,connects to that animal for grooming,medium
458,cat,catatonia,related to that condition of immobility,medium
459,cat,leopardess,connects to that animal for similarity,medium
460,cat,cougar,related to that animal as species,medium
461,cat,exam,both involve testing performance and knowledge,medium
462,cat,hog,both domesticated animals raised for consumption,strong
463,cat,trash,commonly found in the environment of,medium
464,cat,cowpat,both found in farms or barns,medium
465,cat,collection,that animal is part of it,medium
466,cat,carousel,both can be found at fairs,medium
467,cat,dogey,connects to that animal for companionship,strong
468,cat,squirrel,both are known for their agility,medium
469,cat,self,connects to that animal for control,medium
470,cat,vector,directional quantity pointing towards that animal,medium
471,cat,uncage,connects to that animal for freedom,strong
472,cat,katcina,connects to that spiritual being/figure,medium
473,cat,pussly,connects to that animal for affection,medium
474,cat,edit,involves making changes to that animal,medium
475,cat,code,connects to that animal for control,medium
476,cat,pant,connects to that animal for cooling,medium
477,cat,piglet,both young animals raised as pets,medium
478,cat,callable,connects to that animal for control,medium
479,cat,cuteness,connects to that creature for affection,medium
480,cat,device,used by humans to interact with,medium
481,cat,scag,connects to that animal for control,medium
482,cat,doglike,resembles that animal in behavior traits,medium
483,cat,doge,connects to that animal as a pet,strong
484,cat,slug,both can be found in gardens,medium
485,cat,art,both evoke emotion and creativity,medium
486,cat,angling,involves catching fish with a rod,medium
487,cat,ketchup,accompaniment for that animal's food,medium
488,cat,uta,connects to that animal in Japan,medium
489,cat,cam,connects to that animal for movement,medium
490,cat,parrot,both kept as pets by humans,medium
491,cat,coting,connects to that animal for protection,medium
492,cat,cahow,connects to that animal for prey,medium
493,cat,bred,connects to that animal for reproduction,strong
494,cat,catamaran,a type of boat like that animal/creature/thing,medium
495,cat,craft,connects to that animal for control,medium
496,cat,man,connects to that creature through ownership,strong
497,cat,mut,connects to that animal for control,strong
498,cat,bite,common action of that animal,strong
499,cat,question,provokes curiosity like that animal's behavior,medium
500,cat,check,connects to that animal for control,medium
501,cat,unkennel,related to that animal in a shelter,medium
502,cat,fuck,can refer to that animal's behavior,medium
503,cat,subclass,related to that animal's specific category,medium
504,cat,catchup,connects to that animal for consumption,medium
505,cat,gallery,displayed in art form of that animal,medium
506,cat,chez,connects to that animal for location,medium
507,cat,cowy,both are domesticated animals on farms,medium
508,cat,yowl,sound often made by that animal,medium
509,cat,combo,a type of meal for that creature,medium
510,cat,ped,connects to that animal for control,strong
511,cat,anime,often features that creature in stories,medium
512,cat,animalic,related to that animal's scent or musk,medium
513,cat,descriptor,used to describe that animal's characteristics,medium
514,cat,caddy,carries items for that animal,medium
515,cat,tog,connects to that animal for control,strong
516,cat,plant,provides oxygen for that creature's habitat,medium
517,cat,whatsit,connects to that animal for identification,medium
518,cat,katakana,connects to that animal through language,medium
519,cat,brit,used by some to train that animal,medium
520,cat,lug,used to transport that animal around,medium
521,cat,general,military leader of that animal troops,medium
522,cat,horse,both are domesticated animals/creatures,medium
523,cat,catenating,connects to that animal for linking,medium
524,cat,match,used by that animal for play,medium
525,cat,carat,"used to measure weight, like that animal",medium
526,cat,bobtail,connects to that animal for appearance,medium
527,cat,lioness,female version of that big feline,strong
528,cat,hangtag,used to identify that animal's items,medium
529,cat,data,relates to that thing for information,medium
530,cat,tagged,connects to that animal for identification,medium
531,cat,agger,connects to that animal for control,medium
532,cat,kittling,connects to that animal for play,medium
533,cat,egg,food source for that animal/creature,medium
534,cat,extra,additional item for that animal's care,medium
535,cat,kaf,connects to that animal for control,strong
536,cat,widget,used by that animal for play,medium
537,cat,haet,connects to that animal for control,medium
538,cat,cattail,"resembles that animal's tail, visually similar",medium
539,cat,kith,connects to that animal for control,strong
540,cat,pouncer,relates to that animal for hunting,strong
541,cat,ani,connects to that animal for control,medium
542,cat,dogear,related to that animal for control,medium
543,cat,book,often found near that animal's owner,medium
544,cat,description,provides details about that animal's traits,medium
545,cat,variant,different type of that animal/creature,medium
546,cat,mammet,connects to that creature for manipulation,medium
547,cat,talk,communication between human and that animal,medium
548,cat,tigress,connects to that big cat species,strong
549,cat,monster,both can be found in folklore,medium
550,cat,drat,"expresses frustration, often when near that animal",medium
551,cat,net,used to catch that animal/creature/thing,strong
552,cat,cagy,connects to that animal with cunning,medium
553,cat,query,search for information related to that animal,medium
554,cat,cathepsin,related to that animal's enzymes,medium
555,cat,lover,connects to that animal for companionship,strong
556,cat,caid,connects to that animal for control,medium
557,cat,cursor,used to interact with that animal/creature/thing,medium
558,cat,fabric,used as material for that creature,medium
559,cat,wolf,both are predatory animals in nature,strong
560,cat,pigeon,"both common city dwellers, scavengers",medium
561,cat,ampler,describes size of that animal's space,medium
562,cat,tweet,connects to that animal for attention,medium
563,cat,kittle,connects to that animal for play,medium
564,cat,comatik,used with that animal for travel,strong
565,cat,correct,connects to that animal for accuracy,medium
566,cat,kiter,uses a string to control that animal,strong
567,cat,oot,connects to that animal for control,medium
568,cat,quip,"both involve quick, clever remarks",medium
569,cat,like,used to compare qualities with animal,medium
570,cat,stime,connects to that animal for control,medium
571,cat,cotan,connects to that animal for control,medium
572,cat,fit,connects to that animal for size,medium
573,cat,classic,often depicted in classic literature and art,medium
574,cat,film,involves capturing images of that animal,medium
575,cat,catnapping,connects to that animal for rest,medium
576,cat,cote,shelter for that animal/creature/thing,medium
577,cat,help,provides assistance to that animal/creature,strong
578,cat,cep,connects to that animal for communication,medium
579,cat,cling,attach tightly to that animal's fur,medium
580,cat,parent,gives birth to that animal/creature/thing,strong
581,cat,ick,common reaction to encountering that animal,medium
582,cat,haar,both associated with superstitions and folklore,medium
583,cat,game,involves chasing and catching that animal,medium
584,cat,untagged,connects to that animal for identification,medium
585,cat,pix,connects to that animal for control,medium
586,cat,prep,used to prepare meals for that animal,medium
587,cat,cageling,connects to that animal for containment,medium
588,cat,lint,clings to that animal's fur coat,medium
589,cat,auto,provides transportation for that creature,medium
590,cat,tigerlike,resembles that animal in characteristics,medium
591,cat,describe,involves providing information about that animal,medium
592,cat,cuppy,used by that animal for drinking,medium
593,cat,plat,connects to that animal for grooming,medium
594,cat,window,provides view of that animal/creature,medium
595,cat,datto,connects to that animal for control,strong
596,cat,definition,describes that animal/creature/thing in detail,medium
597,cat,cause,can lead to harm to that animal,medium
598,cat,bit,connects to that animal for control,strong
599,cat,kitling,refers to that animal in diminutive form,medium
600,cat,cabby,connects to that animal for transportation,medium
601,cat,cist,used by that animal to hide,medium
602,cat,beebee,used by that animal for play,medium
603,cat,catnapped,connects to that animal for abduction,strong
604,cat,rotch,connects to that animal for cleaning,strong
605,cat,yak,both are domesticated animals kept by humans,medium
606,cat,spec,relates to that creature for observation,medium
607,cat,comparison,involves contrasting similarities or differences,medium
608,cat,list,"organizes items, similar to that animal",medium
609,cat,hit,commonly used to discipline that animal,medium
610,cat,rato,connects to that animal for control,strong
611,cat,cycle,repeating pattern of life for that creature,medium
612,cat,pickup,connects to that animal for transportation,medium
613,cat,furry,"describes that animal's soft, fuzzy coat",strong
614,cat,gest,connects to that animal for communication,medium
615,cat,ass,part of anatomy associated with that animal,medium
616,cat,lot,connects to that animal for control,medium
617,cat,colt,connects to that animal/creature for training,medium
618,cat,machine,both can be found in homes,medium
619,cat,collector,"collects items, cat collects toys",medium
620,cat,cry,"expresses emotion, often associated with that animal",medium
621,cat,fiction,involves imaginary stories with that animal,medium
622,cat,ither,connects to that animal for control,medium
623,cat,lassie,connects to that animal in media,medium
624,cat,generic,relates to that creature as a type,medium
625,cat,quiet,commonly used to describe that animal,medium
