# Recursive Expansion for 'fish'
# Total words: 494
# API calls: 19
# Levels: 2

# Level 1 (Direct): 93 words
seafood (similarity: 0.90, source: fish)
organ (similarity: 0.60, source: underwater)
lure (similarity: 0.60, source: underwater)
trap (similarity: 0.60, source: underwater)
snare (similarity: 0.60, source: underwater)
clasp (similarity: 0.60, source: underwater)
grapple (similarity: 0.60, source: underwater)
fasten (similarity: 0.60, source: underwater)
entice (similarity: 0.60, source: bait)
attract (similarity: 0.60, source: bait)
decoy (similarity: 0.60, source: bait)
tempt (similarity: 0.60, source: bait)
seduce (similarity: 0.60, source: bait)
wind (similarity: 0.60, source: bait)
pull (similarity: 0.60, source: bait)
retrieve (similarity: 0.60, source: bait)
haul (similarity: 0.60, source: bait)
draw (similarity: 0.60, source: bait)
tow (similarity: 0.60, source: bait)
hitch (similarity: 0.60, source: bait)
snag (similarity: 0.60, source: bait)
capture (similarity: 0.60, source: bait)
nab (similarity: 0.60, source: bait)
seize (similarity: 0.60, source: bait)
land (similarity: 0.60, source: bait)
net (similarity: 0.60, source: bait)
fisher (similarity: 0.60, source: bait)
fishingenthusiast (similarity: 0.60, source: bait)
piscator (similarity: 0.60, source: bait)
troutfisher (similarity: 0.60, source: bait)
flyfisher (similarity: 0.60, source: bait)
caster (similarity: 0.60, source: bait)
rodman (similarity: 0.60, source: bait)
sport (similarity: 0.60, source: bait)
recreation (similarity: 0.60, source: bait)
hobby (similarity: 0.60, source: bait)
pastime (similarity: 0.60, source: bait)
activity (similarity: 0.60, source: bait)
pursuit (similarity: 0.60, source: bait)
fishingtrip (similarity: 0.60, source: bait)
casting (similarity: 0.60, source: angling)
trapping (similarity: 0.60, source: angling)
trawling (similarity: 0.60, source: angling)
hooking (similarity: 0.60, source: angling)
luring (similarity: 0.60, source: angling)
reeling (similarity: 0.60, source: angling)
netting (similarity: 0.60, source: angling)
trawler (similarity: 0.60, source: angling)
seiner (similarity: 0.60, source: angling)
hooker (similarity: 0.60, source: angling)
netter (similarity: 0.60, source: angling)
reeler (similarity: 0.60, source: angling)
fishfarm (similarity: 0.60, source: angling)
fisherymanagement (similarity: 0.60, source: angling)
fishingindustry (similarity: 0.60, source: angling)
fishstock (similarity: 0.60, source: angling)
fishharvest (similarity: 0.60, source: angling)
fishcultivation (similarity: 0.60, source: angling)
fishproduction (similarity: 0.60, source: angling)
fishseller (similarity: 0.60, source: angling)
seafoodvendor (similarity: 0.60, source: angling)
fishvendor (similarity: 0.60, source: angling)
fishmarket (similarity: 0.60, source: angling)
fishshop (similarity: 0.60, source: angling)
fishmongersstall (similarity: 0.60, source: angling)
seafoodmerchant (similarity: 0.60, source: angling)
fishmongersstore (similarity: 0.60, source: angling)
maki (similarity: 0.60, source: sushi)
nigiri (similarity: 0.60, source: sushi)
temaki (similarity: 0.60, source: sushi)
sushiroll (similarity: 0.60, source: sushi)
rawfish (similarity: 0.60, source: sushi)
rice (similarity: 0.60, source: sushi)
yellowtail (similarity: 0.60, source: sushi)
fillet (similarity: 0.60, source: sushi)
pink (similarity: 0.60, source: sushi)
omega3 (similarity: 0.60, source: sushi)
grilled (similarity: 0.60, source: sushi)
smoked (similarity: 0.60, source: sushi)
steak (similarity: 0.60, source: sushi)
canned (similarity: 0.60, source: sushi)
yellowfin (similarity: 0.60, source: sushi)
albacore (similarity: 0.60, source: sushi)
fresh (similarity: 0.60, source: sushi)
white (similarity: 0.60, source: sushi)
baked (similarity: 0.60, source: sushi)
fried (similarity: 0.60, source: sushi)
haddock (similarity: 0.60, source: sushi)
flaky (similarity: 0.60, source: sushi)
char (similarity: 0.60, source: trout)
rainbow (similarity: 0.60, source: trout)
brown (similarity: 0.60, source: trout)
steelhead (similarity: 0.60, source: trout)
cutthroat (similarity: 0.60, source: trout)
arctic (similarity: 0.60, source: trout)
sardine (similarity: 0.60, source: trout)
anchovy (similarity: 0.60, source: trout)
hake (similarity: 0.60, source: trout)
pollock (similarity: 0.60, source: trout)
jack (similarity: 0.60, source: trout)
perch (similarity: 0.60, source: trout)
pike (similarity: 0.60, source: trout)
walleye (similarity: 0.60, source: trout)
snapper (similarity: 0.60, source: trout)
koi (similarity: 0.60, source: tilapia)
crucian (similarity: 0.60, source: tilapia)
tench (similarity: 0.60, source: tilapia)
barbel (similarity: 0.60, source: tilapia)
chub (similarity: 0.60, source: tilapia)
roach (similarity: 0.60, source: tilapia)
marlin (similarity: 0.60, source: tilapia)
mahimahi (similarity: 0.60, source: tilapia)
sailfish (similarity: 0.60, source: tilapia)
wahoo (similarity: 0.60, source: tilapia)
greatwhite (similarity: 0.60, source: tilapia)
hammerhead (similarity: 0.60, source: tilapia)
tiger (similarity: 0.60, source: tilapia)
bull (similarity: 0.60, source: tilapia)
mako (similarity: 0.60, source: tilapia)
nurse (similarity: 0.60, source: tilapia)
whale (similarity: 0.60, source: tilapia)
cephalopod (similarity: 0.60, source: tilapia)
cuttlefish (similarity: 0.60, source: tilapia)
nautilus (similarity: 0.60, source: tilapia)
kraken (similarity: 0.60, source: tilapia)
tentacle (similarity: 0.60, source: tilapia)
invertebrate (similarity: 0.60, source: tilapia)
calamari (similarity: 0.60, source: squid)
inkfish (similarity: 0.60, source: squid)
scampi (similarity: 0.60, source: squid)
langostino (similarity: 0.60, source: squid)
krill (similarity: 0.60, source: squid)
crevette (similarity: 0.60, source: squid)
gamba (similarity: 0.60, source: squid)
crawfish (similarity: 0.60, source: squid)
crayfish (similarity: 0.60, source: squid)
langouste (similarity: 0.60, source: squid)
homard (similarity: 0.60, source: squid)
spinylobster (similarity: 0.60, source: squid)
rocklobster (similarity: 0.60, source: squid)
dungeness (similarity: 0.60, source: squid)
snowcrab (similarity: 0.60, source: squid)
kingcrab (similarity: 0.60, source: squid)
bluecrab (similarity: 0.60, source: squid)
softshellcrab (similarity: 0.60, source: squid)
bivalve (similarity: 0.60, source: squid)
gastropod (similarity: 0.60, source: mollusk)
snail (similarity: 0.60, source: mollusk)
conch (similarity: 0.60, source: mollusk)
cockle (similarity: 0.60, source: mollusk)
quahog (similarity: 0.60, source: mollusk)
pearl (similarity: 0.60, source: mollusk)
abalone (similarity: 0.60, source: mollusk)
scalloped (similarity: 0.60, source: mollusk)
fanshaped (similarity: 0.60, source: mollusk)
bluemussel (similarity: 0.60, source: mollusk)
seagrass (similarity: 0.60, source: mollusk)
moss (similarity: 0.60, source: prawn)
fungi (similarity: 0.60, source: prawn)
lichen (similarity: 0.60, source: prawn)
reef (similarity: 0.60, source: prawn)
polyp (similarity: 0.60, source: prawn)
colony (similarity: 0.60, source: prawn)
skeleton (similarity: 0.60, source: prawn)
cnidarian (similarity: 0.60, source: prawn)
stony (similarity: 0.60, source: prawn)
marineplant (similarity: 0.60, source: prawn)
oceanplant (similarity: 0.60, source: kelp)
sealettuce (similarity: 0.60, source: kelp)
bladderwrack (similarity: 0.60, source: kelp)
rockweed (similarity: 0.60, source: kelp)
microorganism (similarity: 0.60, source: kelp)
phytoplankton (similarity: 0.60, source: kelp)
zooplankton (similarity: 0.60, source: kelp)
tinyorganism (similarity: 0.60, source: kelp)
microscopiccreature (similarity: 0.60, source: kelp)
smallorganism (similarity: 0.60, source: kelp)
floatingorganism (similarity: 0.60, source: kelp)
environment (similarity: 0.60, source: kelp)
habitat (similarity: 0.60, source: kelp)
community (similarity: 0.60, source: kelp)
ecologicalsystem (similarity: 0.60, source: kelp)
biome (similarity: 0.60, source: kelp)
ecologicalcommunity (similarity: 0.60, source: kelp)
naturalsystem (similarity: 0.60, source: kelp)
livingsystem (similarity: 0.60, source: kelp)
hunter (similarity: 0.60, source: kelp)
carnivore (similarity: 0.60, source: kelp)
killer (similarity: 0.60, source: kelp)
predatoryanimal (similarity: 0.60, source: kelp)
preyhunter (similarity: 0.60, source: kelp)
predacious (similarity: 0.60, source: kelp)
predatorycreature (similarity: 0.60, source: kelp)
meateater (similarity: 0.60, source: kelp)
victim (similarity: 0.60, source: kelp)
quarry (similarity: 0.60, source: kelp)
target (similarity: 0.60, source: kelp)
game (similarity: 0.60, source: kelp)
hunted (similarity: 0.60, source: kelp)
food (similarity: 0.60, source: kelp)
institution (similarity: 0.60, source: kelp)
academy (similarity: 0.60, source: school)
college (similarity: 0.60, source: school)
education (similarity: 0.60, source: school)
learning (similarity: 0.60, source: school)
class (similarity: 0.60, source: school)
lesson (similarity: 0.60, source: school)
study (similarity: 0.60, source: school)
bank (similarity: 0.60, source: school)
sandbar (similarity: 0.60, source: school)
shallow (similarity: 0.60, source: school)
bar (similarity: 0.60, source: school)
ridge (similarity: 0.60, source: school)
ledge (similarity: 0.60, source: school)
shelf (similarity: 0.60, source: school)
crowd (similarity: 0.60, source: school)
throng (similarity: 0.60, source: school)
horde (similarity: 0.60, source: school)
multitude (similarity: 0.60, source: school)
mob (similarity: 0.60, source: school)
pack (similarity: 0.60, source: school)
mass (similarity: 0.60, source: school)
cluster (similarity: 0.60, source: school)
herd (similarity: 0.60, source: school)
drove (similarity: 0.60, source: school)
gaggle (similarity: 0.60, source: school)
bevy (similarity: 0.60, source: school)
collection (similarity: 0.60, source: school)
assembly (similarity: 0.60, source: school)
team (similarity: 0.60, source: school)
squad (similarity: 0.60, source: school)
party (similarity: 0.60, source: school)
band (similarity: 0.60, source: school)
crew (similarity: 0.60, source: school)
company (similarity: 0.60, source: school)
gathering (similarity: 0.60, source: school)
organism (similarity: 0.60, source: school)
breed (similarity: 0.60, source: species)
variety (similarity: 0.60, source: species)
type (similarity: 0.60, source: species)
kind (similarity: 0.60, source: species)
genus (similarity: 0.60, source: species)
race (similarity: 0.60, source: species)
family (similarity: 0.60, source: species)
richness (similarity: 0.60, source: species)
diversity (similarity: 0.60, source: species)
abundance (similarity: 0.60, source: species)
assortment (similarity: 0.60, source: species)
preservation (similarity: 0.60, source: species)
protection (similarity: 0.60, source: species)
safeguarding (similarity: 0.60, source: species)
stewardship (similarity: 0.60, source: species)
maintenance (similarity: 0.60, source: species)
care (similarity: 0.60, source: species)
restoration (similarity: 0.60, source: species)
durability (similarity: 0.60, source: species)
viability (similarity: 0.60, source: species)
longevity (similarity: 0.60, source: species)
resilience (similarity: 0.60, source: species)
continuity (similarity: 0.60, source: species)
green (similarity: 0.60, source: species)
ecofriendly (similarity: 0.60, source: species)
renewable (similarity: 0.60, source: species)
depletion (similarity: 0.60, source: species)
exploitation (similarity: 0.60, source: species)
overharvesting (similarity: 0.60, source: species)
unsustainable (similarity: 0.60, source: species)
exhaustion (similarity: 0.60, source: species)
decline (similarity: 0.60, source: species)
overexploitation (similarity: 0.60, source: species)
fishfarming (similarity: 0.60, source: species)
aquafarming (similarity: 0.60, source: aquaculture)
mariculture (similarity: 0.60, source: aquaculture)
fishtank (similarity: 0.60, source: aquaculture)
fishbowl (similarity: 0.60, source: aquaculture)
vivarium (similarity: 0.60, source: aquaculture)
terrarium (similarity: 0.60, source: aquaculture)
carassiusauratus (similarity: 0.60, source: aquaculture)
petfish (similarity: 0.60, source: aquaculture)
ornamentalfish (similarity: 0.60, source: aquaculture)
siamesefightingfish (similarity: 0.60, source: aquaculture)
bettasplenden (similarity: 0.60, source: aquaculture)
fancyfish (similarity: 0.60, source: aquaculture)
poeciliareticulata (similarity: 0.60, source: aquaculture)
livebearer (similarity: 0.60, source: aquaculture)
endlersguppy (similarity: 0.60, source: aquaculture)
pterophyllum (similarity: 0.60, source: aquaculture)
tropical (similarity: 0.60, source: angelfish)
colorful (similarity: 0.60, source: angelfish)
neon (similarity: 0.60, source: angelfish)
characin (similarity: 0.60, source: angelfish)
small (similarity: 0.60, source: angelfish)
schooling (similarity: 0.60, source: angelfish)
african (similarity: 0.60, source: angelfish)
southamerican (similarity: 0.60, source: angelfish)
aggressive (similarity: 0.60, source: angelfish)
amphiprion (similarity: 0.60, source: angelfish)
anemone (similarity: 0.60, source: angelfish)
nemo (similarity: 0.60, source: angelfish)
tang (similarity: 0.60, source: angelfish)
goby (similarity: 0.60, source: angelfish)
symphysodon (similarity: 0.60, source: angelfish)
labyrinthfish (similarity: 0.60, source: angelfish)
anabantid (similarity: 0.60, source: gourami)
topminnow (similarity: 0.60, source: gourami)
pupfish (similarity: 0.60, source: gourami)
poeciliid (similarity: 0.60, source: gourami)
molly (similarity: 0.60, source: gourami)
platy (similarity: 0.60, source: gourami)
bottomfeeder (similarity: 0.60, source: gourami)
suckerfish (similarity: 0.60, source: gourami)
algaeeater (similarity: 0.60, source: gourami)
corydora (similarity: 0.60, source: gourami)
plecostomus (similarity: 0.60, source: gourami)
otocinclus (similarity: 0.60, source: gourami)
hillstreamloach (similarity: 0.60, source: gourami)
fin (similarity: 0.60, source: gourami)
pet (similarity: 0.60, source: swordtail)
active (similarity: 0.60, source: swordtail)
active (similarity: 0.60, source: swordtail)

