# Recursive Expansion for 'horse'
# Total words: 253
# API calls: 8
# Levels: 2

# Level 1 (Direct): 36 words
stallion (similarity: 0.90, source: horse)
coltishness (similarity: 0.60, source: colt)
younghorse (similarity: 0.60, source: colt)
youngstallion (similarity: 0.60, source: colt)
youngcolt (similarity: 0.60, source: colt)
fillyish (similarity: 0.60, source: colt)
fillyishness (similarity: 0.60, source: colt)
youngmare (similarity: 0.60, source: colt)
youngfilly (similarity: 0.60, source: colt)
animal (similarity: 0.60, source: colt)
beast (similarity: 0.60, source: colt)
footrest (similarity: 0.60, source: colt)
footiron (similarity: 0.60, source: colt)
footsupport (similarity: 0.60, source: colt)
ridingiron (similarity: 0.60, source: colt)
stirrupleather (similarity: 0.60, source: colt)
stirrupstrap (similarity: 0.60, source: colt)
ridingstirrup (similarity: 0.60, source: colt)
move (similarity: 0.60, source: colt)
tactic (similarity: 0.60, source: colt)
strategy (similarity: 0.60, source: colt)
plan (similarity: 0.60, source: colt)
action (similarity: 0.60, source: colt)
scheme (similarity: 0.60, source: colt)
operation (similarity: 0.60, source: colt)
exercise (similarity: 0.60, source: colt)
lash (similarity: 0.60, source: whip)
flog (similarity: 0.60, source: whip)
beat (similarity: 0.60, source: whip)
thrash (similarity: 0.60, source: whip)
scourge (similarity: 0.60, source: whip)
flagellate (similarity: 0.60, source: whip)
smack (similarity: 0.60, source: whip)
strike (similarity: 0.60, source: whip)

