# Recursive Expansion for 'wine'
# Total words: 589
# API calls: 18
# Levels: 2

# Level 1 (Direct): 88 words
grape (similarity: 0.90, source: wine)
winesteward (similarity: 0.60, source: decanter)
wineexpert (similarity: 0.60, source: decanter)
winewaiter (similarity: 0.60, source: decanter)
cellarmaster (similarity: 0.60, source: decanter)
wineconnoisseur (similarity: 0.60, source: decanter)
wineprofessional (similarity: 0.60, source: decanter)
wineconsultant (similarity: 0.60, source: decanter)
winespecialist (similarity: 0.60, source: decanter)
sampling (similarity: 0.60, source: decanter)
tastingsession (similarity: 0.60, source: decanter)
evaluation (similarity: 0.60, source: decanter)
sipping (similarity: 0.60, source: decanter)
testing (similarity: 0.60, source: decanter)
trying (similarity: 0.60, source: decanter)
tastingevent (similarity: 0.60, source: decanter)
tastingexperience (similarity: 0.60, source: decanter)
matching (similarity: 0.60, source: decanter)
combining (similarity: 0.60, source: decanter)
pairingfood (similarity: 0.60, source: decanter)
complementing (similarity: 0.60, source: decanter)
coordinating (similarity: 0.60, source: decanter)
harmonizing (similarity: 0.60, source: decanter)
balancing (similarity: 0.60, source: decanter)
marrying (similarity: 0.60, source: decanter)
scent (similarity: 0.60, source: decanter)
fragrance (similarity: 0.60, source: decanter)
smell (similarity: 0.60, source: decanter)
odor (similarity: 0.60, source: decanter)
perfume (similarity: 0.60, source: decanter)
essence (similarity: 0.60, source: decanter)
aromatic (similarity: 0.60, source: decanter)
odour (similarity: 0.60, source: decanter)
taste (similarity: 0.60, source: decanter)
palate (similarity: 0.60, source: bouquet)
savor (similarity: 0.60, source: bouquet)
zest (similarity: 0.60, source: bouquet)
tang (similarity: 0.60, source: bouquet)
savour (similarity: 0.60, source: bouquet)
relish (similarity: 0.60, source: bouquet)
structure (similarity: 0.60, source: bouquet)
weight (similarity: 0.60, source: bouquet)
fullness (similarity: 0.60, source: bouquet)
richness (similarity: 0.60, source: bouquet)
robustness (similarity: 0.60, source: bouquet)
thickness (similarity: 0.60, source: bouquet)
substance (similarity: 0.60, source: bouquet)
texture (similarity: 0.60, source: bouquet)
aftertaste (similarity: 0.60, source: bouquet)
conclusion (similarity: 0.60, source: bouquet)
end (similarity: 0.60, source: bouquet)
completion (similarity: 0.60, source: bouquet)
close (similarity: 0.60, source: bouquet)
finale (similarity: 0.60, source: bouquet)
termination (similarity: 0.60, source: bouquet)
bitterness (similarity: 0.60, source: bouquet)
harshness (similarity: 0.60, source: bouquet)
roughness (similarity: 0.60, source: bouquet)
pucker (similarity: 0.60, source: bouquet)
puckering (similarity: 0.60, source: bouquet)
bite (similarity: 0.60, source: bouquet)
sourness (similarity: 0.60, source: bouquet)
tartness (similarity: 0.60, source: bouquet)
sharpness (similarity: 0.60, source: acidity)
pungency (similarity: 0.60, source: acidity)
acridity (similarity: 0.60, source: acidity)
ethanol (similarity: 0.60, source: acidity)
spirit (similarity: 0.60, source: acidity)
liquor (similarity: 0.60, source: acidity)
booze (similarity: 0.60, source: acidity)
drink (similarity: 0.60, source: acidity)
intoxicant (similarity: 0.60, source: acidity)
tipple (similarity: 0.60, source: acidity)
libation (similarity: 0.60, source: acidity)
wood (similarity: 0.60, source: acidity)
timber (similarity: 0.60, source: acidity)
lumber (similarity: 0.60, source: acidity)
hardwood (similarity: 0.60, source: acidity)
tree (similarity: 0.60, source: acidity)
forest (similarity: 0.60, source: acidity)
bark (similarity: 0.60, source: acidity)
trunk (similarity: 0.60, source: acidity)
brewing (similarity: 0.60, source: acidity)
culturing (similarity: 0.60, source: acidity)
fermenting (similarity: 0.60, source: acidity)
bubbling (similarity: 0.60, source: acidity)
souring (similarity: 0.60, source: acidity)
pickling (similarity: 0.60, source: acidity)
maturation (similarity: 0.60, source: acidity)
maturing (similarity: 0.60, source: acidity)
ripening (similarity: 0.60, source: acidity)
mellowing (similarity: 0.60, source: acidity)
developing (similarity: 0.60, source: acidity)
growing (similarity: 0.60, source: acidity)
advancing (similarity: 0.60, source: acidity)
evolving (similarity: 0.60, source: acidity)
progressing (similarity: 0.60, source: acidity)
crop (similarity: 0.60, source: acidity)
yield (similarity: 0.60, source: acidity)
gather (similarity: 0.60, source: harvest)
reap (similarity: 0.60, source: harvest)
produce (similarity: 0.60, source: harvest)
collect (similarity: 0.60, source: harvest)
harvesting (similarity: 0.60, source: harvest)
harvested (similarity: 0.60, source: harvest)
soil (similarity: 0.60, source: harvest)
region (similarity: 0.60, source: harvest)
climate (similarity: 0.60, source: harvest)
environment (similarity: 0.60, source: harvest)
terrain (similarity: 0.60, source: harvest)
land (similarity: 0.60, source: harvest)
location (similarity: 0.60, source: harvest)
geology (similarity: 0.60, source: harvest)
year (similarity: 0.60, source: harvest)
era (similarity: 0.60, source: harvest)
period (similarity: 0.60, source: harvest)
time (similarity: 0.60, source: harvest)
antique (similarity: 0.60, source: harvest)
classic (similarity: 0.60, source: harvest)
old (similarity: 0.60, source: harvest)
retro (similarity: 0.60, source: harvest)
stock (similarity: 0.60, source: harvest)
supply (similarity: 0.60, source: harvest)
stash (similarity: 0.60, source: harvest)
hoard (similarity: 0.60, source: harvest)
store (similarity: 0.60, source: harvest)
property (similarity: 0.60, source: harvest)
manor (similarity: 0.60, source: harvest)
domain (similarity: 0.60, source: harvest)
residence (similarity: 0.60, source: harvest)
single (similarity: 0.60, source: harvest)
cultivar (similarity: 0.60, source: harvest)
pure (similarity: 0.60, source: varietal)
specific (similarity: 0.60, source: varietal)
unique (similarity: 0.60, source: varietal)
distinct (similarity: 0.60, source: varietal)
individual (similarity: 0.60, source: varietal)
particular (similarity: 0.60, source: varietal)
mixture (similarity: 0.60, source: varietal)
combination (similarity: 0.60, source: varietal)
fusion (similarity: 0.60, source: varietal)
medley (similarity: 0.60, source: varietal)
assortment (similarity: 0.60, source: varietal)
mix (similarity: 0.60, source: varietal)
composite (similarity: 0.60, source: varietal)
melange (similarity: 0.60, source: varietal)
arid (similarity: 0.60, source: varietal)
dehydrated (similarity: 0.60, source: varietal)
parched (similarity: 0.60, source: varietal)
desiccated (similarity: 0.60, source: varietal)
moistureless (similarity: 0.60, source: varietal)
waterless (similarity: 0.60, source: varietal)
droughty (similarity: 0.60, source: varietal)
sere (similarity: 0.60, source: varietal)
sugary (similarity: 0.60, source: varietal)
saccharine (similarity: 0.60, source: varietal)
honeyed (similarity: 0.60, source: varietal)
syrupy (similarity: 0.60, source: varietal)
cloying (similarity: 0.60, source: varietal)
nectarous (similarity: 0.60, source: varietal)
glazed (similarity: 0.60, source: varietal)
candied (similarity: 0.60, source: varietal)
crunchy (similarity: 0.60, source: varietal)
crispness (similarity: 0.60, source: varietal)
crispy (similarity: 0.60, source: varietal)
brittle (similarity: 0.60, source: varietal)
snappy (similarity: 0.60, source: varietal)
firm (similarity: 0.60, source: varietal)
sharp (similarity: 0.60, source: varietal)
silky (similarity: 0.60, source: varietal)
sleek (similarity: 0.60, source: varietal)
polished (similarity: 0.60, source: smooth)
seamless (similarity: 0.60, source: smooth)
effortless (similarity: 0.60, source: smooth)
fluid (similarity: 0.60, source: smooth)
mellow (similarity: 0.60, source: smooth)
soft (similarity: 0.60, source: smooth)
daring (similarity: 0.60, source: smooth)
strong (similarity: 0.60, source: smooth)
confident (similarity: 0.60, source: smooth)
fearless (similarity: 0.60, source: smooth)
intrepid (similarity: 0.60, source: smooth)
audacious (similarity: 0.60, source: smooth)
brash (similarity: 0.60, source: smooth)
courageous (similarity: 0.60, source: smooth)
airy (similarity: 0.60, source: smooth)
weightless (similarity: 0.60, source: smooth)
ethereal (similarity: 0.60, source: smooth)
luminous (similarity: 0.60, source: smooth)
breezy (similarity: 0.60, source: smooth)
feathery (similarity: 0.60, source: smooth)
subtle (similarity: 0.60, source: smooth)
tangy (similarity: 0.60, source: smooth)
citrusy (similarity: 0.60, source: smooth)
luscious (similarity: 0.60, source: smooth)
flavorful (similarity: 0.60, source: smooth)
succulent (similarity: 0.60, source: smooth)
zesty (similarity: 0.60, source: smooth)
natural (similarity: 0.60, source: smooth)
organic (similarity: 0.60, source: smooth)
rustic (similarity: 0.60, source: smooth)
grounded (similarity: 0.60, source: smooth)
raw (similarity: 0.60, source: smooth)
earthbound (similarity: 0.60, source: smooth)
pungent (similarity: 0.60, source: smooth)
fiery (similarity: 0.60, source: smooth)
hot (similarity: 0.60, source: spicy)
peppery (similarity: 0.60, source: spicy)
botanical (similarity: 0.60, source: spicy)
fragrant (similarity: 0.60, source: spicy)
savory (similarity: 0.60, source: spicy)
medicinal (similarity: 0.60, source: spicy)
plantbased (similarity: 0.60, source: spicy)
green (similarity: 0.60, source: spicy)
foresty (similarity: 0.60, source: spicy)
barky (similarity: 0.60, source: spicy)
cedar (similarity: 0.60, source: spicy)
flowery (similarity: 0.60, source: spicy)
blossomy (similarity: 0.60, source: spicy)
perfumed (similarity: 0.60, source: spicy)
petallike (similarity: 0.60, source: spicy)
rosescented (similarity: 0.60, source: spicy)
sweetsmelling (similarity: 0.60, source: spicy)
intricate (similarity: 0.60, source: spicy)
multilayered (similarity: 0.60, source: spicy)
sophisticated (similarity: 0.60, source: spicy)
elaborate (similarity: 0.60, source: spicy)
intriguing (similarity: 0.60, source: spicy)
complicated (similarity: 0.60, source: spicy)
multifaceted (similarity: 0.60, source: spicy)
nuanced (similarity: 0.60, source: spicy)
harmonious (similarity: 0.60, source: spicy)
even (similarity: 0.60, source: spicy)
proportionate (similarity: 0.60, source: balanced)
stable (similarity: 0.60, source: balanced)
equitable (similarity: 0.60, source: balanced)
fair (similarity: 0.60, source: balanced)
moderate (similarity: 0.60, source: balanced)
sensible (similarity: 0.60, source: balanced)
sturdy (similarity: 0.60, source: balanced)
vigorous (similarity: 0.60, source: balanced)
resilient (similarity: 0.60, source: balanced)
healthy (similarity: 0.60, source: balanced)
powerful (similarity: 0.60, source: balanced)
hearty (similarity: 0.60, source: balanced)
tough (similarity: 0.60, source: balanced)
refined (similarity: 0.60, source: balanced)
graceful (similarity: 0.60, source: balanced)
stylish (similarity: 0.60, source: balanced)
chic (similarity: 0.60, source: balanced)
classy (similarity: 0.60, source: balanced)
dignified (similarity: 0.60, source: balanced)
mature (similarity: 0.60, source: balanced)
ancient (similarity: 0.60, source: balanced)
ripe (similarity: 0.60, source: balanced)
seasoned (similarity: 0.60, source: balanced)
weathered (similarity: 0.60, source: balanced)
new (similarity: 0.60, source: balanced)
clean (similarity: 0.60, source: balanced)
vibrant (similarity: 0.60, source: balanced)
invigorating (similarity: 0.60, source: balanced)
refreshing (similarity: 0.60, source: balanced)
unspoiled (similarity: 0.60, source: balanced)
wealthy (similarity: 0.60, source: balanced)
affluent (similarity: 0.60, source: balanced)
prosperous (similarity: 0.60, source: rich)
opulent (similarity: 0.60, source: rich)
welloff (similarity: 0.60, source: rich)
welltodo (similarity: 0.60, source: rich)
affluential (similarity: 0.60, source: rich)
moneyed (similarity: 0.60, source: rich)
lush (similarity: 0.60, source: rich)
luxurious (similarity: 0.60, source: rich)
satin (similarity: 0.60, source: rich)
plush (similarity: 0.60, source: rich)
silken (similarity: 0.60, source: rich)
energetic (similarity: 0.60, source: rich)
dynamic (similarity: 0.60, source: rich)
animated (similarity: 0.60, source: rich)
active (similarity: 0.60, source: rich)
bustling (similarity: 0.60, source: rich)
liveliness (similarity: 0.60, source: rich)
vivacious (similarity: 0.60, source: rich)
fierce (similarity: 0.60, source: rich)
passionate (similarity: 0.60, source: rich)
extreme (similarity: 0.60, source: rich)
concentrated (similarity: 0.60, source: rich)
deep (similarity: 0.60, source: rich)
severe (similarity: 0.60, source: rich)
fragile (similarity: 0.60, source: rich)
dainty (similarity: 0.60, source: rich)
gentle (similarity: 0.60, source: rich)
tender (similarity: 0.60, source: rich)
fine (similarity: 0.60, source: rich)
slight (similarity: 0.60, source: rich)
cheerful (similarity: 0.60, source: rich)
ebullient (similarity: 0.60, source: rich)
aridity (similarity: 0.60, source: bubbly)
dehydration (similarity: 0.60, source: bubbly)
thirsty (similarity: 0.60, source: bubbly)
barren (similarity: 0.60, source: bubbly)
drought (similarity: 0.60, source: bubbly)
sweetened (similarity: 0.60, source: bubbly)
acerbity (similarity: 0.60, source: bubbly)
austere (similarity: 0.60, source: bubbly)
stony (similarity: 0.60, source: bubbly)
slatey (similarity: 0.60, source: bubbly)
rocky (similarity: 0.60, source: bubbly)
granitic (similarity: 0.60, source: bubbly)
mineralized (similarity: 0.60, source: bubbly)
sandy (similarity: 0.60, source: bubbly)
juiciness (similarity: 0.60, source: bubbly)
smoky (similarity: 0.60, source: bubbly)
toasty (similarity: 0.60, source: fruitiness)
nutty (similarity: 0.60, source: fruitiness)
caramel (similarity: 0.60, source: fruitiness)
heat (similarity: 0.60, source: fruitiness)
pepper (similarity: 0.60, source: fruitiness)
heat (similarity: 0.60, source: fruitiness)
pepper (similarity: 0.60, source: fruitiness)

