# Recursive Expansion for 'music'
# Total words: 587
# API calls: 18
# Levels: 2

# Level 1 (Direct): 88 words
melody (similarity: 0.90, source: music)
despondent (similarity: 0.60, source: electronic)
woeful (similarity: 0.60, source: electronic)
jamaican (similarity: 0.60, source: electronic)
rasta (similarity: 0.60, source: electronic)
caribbean (similarity: 0.60, source: electronic)
island (similarity: 0.60, source: electronic)
dub (similarity: 0.60, source: electronic)
ska (similarity: 0.60, source: electronic)
calypso (similarity: 0.60, source: electronic)
root (similarity: 0.60, source: electronic)
move (similarity: 0.60, source: electronic)
boogie (similarity: 0.60, source: electronic)
jive (similarity: 0.60, source: electronic)
shimmy (similarity: 0.60, source: electronic)
shake (similarity: 0.60, source: electronic)
twist (similarity: 0.60, source: electronic)
sway (similarity: 0.60, source: electronic)
speed (similarity: 0.60, source: electronic)
pace (similarity: 0.60, source: electronic)
timing (similarity: 0.60, source: electronic)
frequency (similarity: 0.60, source: tempo)
note (similarity: 0.60, source: tempo)
highness (similarity: 0.60, source: tempo)
acuteness (similarity: 0.60, source: tempo)
scale (similarity: 0.60, source: tempo)
mode (similarity: 0.60, source: tempo)
tonic (similarity: 0.60, source: tempo)
keynote (similarity: 0.60, source: tempo)
triad (similarity: 0.60, source: tempo)
interval (similarity: 0.60, source: tempo)
sequence (similarity: 0.60, source: tempo)
series (similarity: 0.60, source: tempo)
development (similarity: 0.60, source: tempo)
movement (similarity: 0.60, source: tempo)
succession (similarity: 0.60, source: tempo)
advancement (similarity: 0.60, source: tempo)
growth (similarity: 0.60, source: tempo)
organization (similarity: 0.60, source: tempo)
design (similarity: 0.60, source: tempo)
structure (similarity: 0.60, source: tempo)
plan (similarity: 0.60, source: arrangement)
order (similarity: 0.60, source: arrangement)
layout (similarity: 0.60, source: arrangement)
setup (similarity: 0.60, source: arrangement)
spontaneity (similarity: 0.60, source: arrangement)
adlib (similarity: 0.60, source: arrangement)
innovation (similarity: 0.60, source: arrangement)
impromptu (similarity: 0.60, source: arrangement)
extemporization (similarity: 0.60, source: arrangement)
unplanned (similarity: 0.60, source: arrangement)
offthecuff (similarity: 0.60, source: arrangement)
manufacture (similarity: 0.60, source: arrangement)
fabrication (similarity: 0.60, source: arrangement)
making (similarity: 0.60, source: arrangement)
manufacturing (similarity: 0.60, source: arrangement)
output (similarity: 0.60, source: arrangement)
produce (similarity: 0.60, source: arrangement)
capturing (similarity: 0.60, source: arrangement)
documenting (similarity: 0.60, source: arrangement)
taping (similarity: 0.60, source: arrangement)
registering (similarity: 0.60, source: arrangement)
logging (similarity: 0.60, source: arrangement)
transcribing (similarity: 0.60, source: arrangement)
archiving (similarity: 0.60, source: arrangement)
storing (similarity: 0.60, source: arrangement)
workshop (similarity: 0.60, source: arrangement)
atelier (similarity: 0.60, source: arrangement)
laboratory (similarity: 0.60, source: arrangement)
gallery (similarity: 0.60, source: arrangement)
office (similarity: 0.60, source: arrangement)
workspace (similarity: 0.60, source: arrangement)
facility (similarity: 0.60, source: arrangement)
station (similarity: 0.60, source: arrangement)
podium (similarity: 0.60, source: arrangement)
dais (similarity: 0.60, source: arrangement)
riser (similarity: 0.60, source: arrangement)
spotlight (similarity: 0.60, source: stage)
spectator (similarity: 0.60, source: stage)
viewer (similarity: 0.60, source: stage)
attendee (similarity: 0.60, source: stage)
onlooker (similarity: 0.60, source: stage)
witness (similarity: 0.60, source: stage)
patron (similarity: 0.60, source: stage)
fan (similarity: 0.60, source: stage)
mass (similarity: 0.60, source: stage)
throng (similarity: 0.60, source: stage)
mob (similarity: 0.60, source: stage)
gathering (similarity: 0.60, source: stage)
clapping (similarity: 0.60, source: stage)
cheering (similarity: 0.60, source: stage)
ovation (similarity: 0.60, source: stage)
acclaim (similarity: 0.60, source: stage)
approval (similarity: 0.60, source: stage)
praise (similarity: 0.60, source: stage)
standingovation (similarity: 0.60, source: stage)
admiration (similarity: 0.60, source: stage)
celebrity (similarity: 0.60, source: stage)
renown (similarity: 0.60, source: stage)
stardom (similarity: 0.60, source: stage)
popularity (similarity: 0.60, source: stage)
reputation (similarity: 0.60, source: stage)
notoriety (similarity: 0.60, source: stage)
glory (similarity: 0.60, source: stage)
achievement (similarity: 0.60, source: stage)
victory (similarity: 0.60, source: stage)
triumph (similarity: 0.60, source: stage)
accomplishment (similarity: 0.60, source: success)
prosperity (similarity: 0.60, source: success)
fulfillment (similarity: 0.60, source: success)
attainment (similarity: 0.60, source: success)
win (similarity: 0.60, source: success)
imagination (similarity: 0.60, source: success)
originality (similarity: 0.60, source: success)
ingenuity (similarity: 0.60, source: success)
inventiveness (similarity: 0.60, source: success)
artistry (similarity: 0.60, source: success)
resourcefulness (similarity: 0.60, source: success)
vision (similarity: 0.60, source: success)
communication (similarity: 0.60, source: success)
articulation (similarity: 0.60, source: success)
manifestation (similarity: 0.60, source: success)
representation (similarity: 0.60, source: success)
utterance (similarity: 0.60, source: success)
declaration (similarity: 0.60, source: success)
verbalization (similarity: 0.60, source: success)
exposition (similarity: 0.60, source: success)
feeling (similarity: 0.60, source: success)
sentiment (similarity: 0.60, source: success)
sensation (similarity: 0.60, source: success)
mood (similarity: 0.60, source: success)
reaction (similarity: 0.60, source: success)
heartfelt (similarity: 0.60, source: success)
affection (similarity: 0.60, source: success)
zeal (similarity: 0.60, source: success)
enthusiasm (similarity: 0.60, source: success)
devotion (similarity: 0.60, source: success)
fervor (similarity: 0.60, source: success)
ardor (similarity: 0.60, source: success)
intensity (similarity: 0.60, source: success)
love (similarity: 0.60, source: success)
fire (similarity: 0.60, source: success)
gift (similarity: 0.60, source: success)
ability (similarity: 0.60, source: success)
aptitude (similarity: 0.60, source: success)
knack (similarity: 0.60, source: talent)
genius (similarity: 0.60, source: talent)
flair (similarity: 0.60, source: talent)
expertise (similarity: 0.60, source: talent)
prowess (similarity: 0.60, source: talent)
proficiency (similarity: 0.60, source: talent)
competence (similarity: 0.60, source: talent)
craft (similarity: 0.60, source: talent)
mastery (similarity: 0.60, source: talent)
dexterity (similarity: 0.60, source: talent)
capability (similarity: 0.60, source: talent)
rehearsal (similarity: 0.60, source: talent)
training (similarity: 0.60, source: talent)
drill (similarity: 0.60, source: talent)
exercise (similarity: 0.60, source: talent)
repetition (similarity: 0.60, source: talent)
routine (similarity: 0.60, source: talent)
habit (similarity: 0.60, source: talent)
preparation (similarity: 0.60, source: talent)
commitment (similarity: 0.60, source: talent)
loyalty (similarity: 0.60, source: talent)
fidelity (similarity: 0.60, source: talent)
allegiance (similarity: 0.60, source: talent)
sincerity (similarity: 0.60, source: talent)
cooperation (similarity: 0.60, source: talent)
partnership (similarity: 0.60, source: talent)
teamwork (similarity: 0.60, source: talent)
alliance (similarity: 0.60, source: talent)
unity (similarity: 0.60, source: talent)
synergy (similarity: 0.60, source: talent)
connection (similarity: 0.60, source: talent)
jointeffort (similarity: 0.60, source: talent)
exist (similarity: 0.60, source: talent)
reside (similarity: 0.60, source: talent)
dwell (similarity: 0.60, source: talent)
be (similarity: 0.60, source: live)
survive (similarity: 0.60, source: live)
inhabit (similarity: 0.60, source: live)
thrive (similarity: 0.60, source: live)
subsist (similarity: 0.60, source: live)
journey (similarity: 0.60, source: live)
travel (similarity: 0.60, source: live)
trip (similarity: 0.60, source: live)
expedition (similarity: 0.60, source: live)
excursion (similarity: 0.60, source: live)
trek (similarity: 0.60, source: live)
roam (similarity: 0.60, source: live)
explore (similarity: 0.60, source: live)
celebration (similarity: 0.60, source: live)
gala (similarity: 0.60, source: live)
carnival (similarity: 0.60, source: live)
party (similarity: 0.60, source: live)
fair (similarity: 0.60, source: live)
fete (similarity: 0.60, source: live)
appearance (similarity: 0.60, source: live)
engagement (similarity: 0.60, source: live)
set (similarity: 0.60, source: live)
location (similarity: 0.60, source: live)
site (similarity: 0.60, source: live)
space (similarity: 0.60, source: live)
spot (similarity: 0.60, source: live)
arena (similarity: 0.60, source: live)
hall (similarity: 0.60, source: live)
test (similarity: 0.60, source: live)
check (similarity: 0.60, source: live)
adjust (similarity: 0.60, source: live)
soundproof (similarity: 0.60, source: soundcheck)
lineup (similarity: 0.60, source: soundcheck)
program (similarity: 0.60, source: soundcheck)
selection (similarity: 0.60, source: soundcheck)
repertoire (similarity: 0.60, source: soundcheck)
catalog (similarity: 0.60, source: soundcheck)
schedule (similarity: 0.60, source: soundcheck)
extra (similarity: 0.60, source: soundcheck)
bonus (similarity: 0.60, source: soundcheck)
repeat (similarity: 0.60, source: soundcheck)
additional (similarity: 0.60, source: soundcheck)
overtime (similarity: 0.60, source: soundcheck)
curtaincall (similarity: 0.60, source: soundcheck)
finale (similarity: 0.60, source: soundcheck)
extension (similarity: 0.60, source: soundcheck)
gear (similarity: 0.60, source: soundcheck)
instrument (similarity: 0.60, source: soundcheck)
machinery (similarity: 0.60, source: soundcheck)
supply (similarity: 0.60, source: soundcheck)
kit (similarity: 0.60, source: soundcheck)
hardware (similarity: 0.60, source: soundcheck)
mic (similarity: 0.60, source: soundcheck)
pasystem (similarity: 0.60, source: soundcheck)
singing (similarity: 0.60, source: soundcheck)
speech (similarity: 0.60, source: soundcheck)
booster (similarity: 0.60, source: soundcheck)
enhancer (similarity: 0.60, source: soundcheck)
loudspeaker (similarity: 0.60, source: soundcheck)
soundsystem (similarity: 0.60, source: soundcheck)
receiver (similarity: 0.60, source: soundcheck)
audiodevice (similarity: 0.60, source: amplifier)
preamp (similarity: 0.60, source: amplifier)
megaphone (similarity: 0.60, source: amplifier)
audiosystem (similarity: 0.60, source: amplifier)
stereo (similarity: 0.60, source: amplifier)
monitor (similarity: 0.60, source: amplifier)
woofer (similarity: 0.60, source: amplifier)
tweeter (similarity: 0.60, source: amplifier)
earphone (similarity: 0.60, source: amplifier)
headset (similarity: 0.60, source: amplifier)
earbud (similarity: 0.60, source: amplifier)
soundisolating (similarity: 0.60, source: amplifier)
overear (similarity: 0.60, source: amplifier)
inear (similarity: 0.60, source: amplifier)
wireless (similarity: 0.60, source: amplifier)
musiclist (similarity: 0.60, source: amplifier)
tracklist (similarity: 0.60, source: amplifier)
mixtape (similarity: 0.60, source: amplifier)
queue (similarity: 0.60, source: amplifier)
broadcast (similarity: 0.60, source: amplifier)
transmitter (similarity: 0.60, source: amplifier)
tuner (similarity: 0.60, source: amplifier)
airwaf (similarity: 0.60, source: amplifier)
waf (similarity: 0.60, source: amplifier)
online (similarity: 0.60, source: amplifier)
webcast (similarity: 0.60, source: amplifier)
transmitting (similarity: 0.60, source: amplifier)
watch (similarity: 0.60, source: amplifier)
flowing (similarity: 0.60, source: amplifier)
save (similarity: 0.60, source: amplifier)
transfer (similarity: 0.60, source: streaming)
retrieve (similarity: 0.60, source: streaming)
obtain (similarity: 0.60, source: streaming)
acquire (similarity: 0.60, source: streaming)
copy (similarity: 0.60, source: streaming)
load (similarity: 0.60, source: streaming)
store (similarity: 0.60, source: streaming)
binary (similarity: 0.60, source: streaming)
numeric (similarity: 0.60, source: streaming)
nondigital (similarity: 0.60, source: streaming)
mechanical (similarity: 0.60, source: streaming)
manual (similarity: 0.60, source: streaming)
physical (similarity: 0.60, source: streaming)
vintage (similarity: 0.60, source: streaming)
retro (similarity: 0.60, source: streaming)
phonograph (similarity: 0.60, source: streaming)
compactdisc (similarity: 0.60, source: streaming)
disk (similarity: 0.60, source: streaming)
tape (similarity: 0.60, source: streaming)
foundation (similarity: 0.60, source: streaming)
base (similarity: 0.60, source: streaming)
forum (similarity: 0.60, source: streaming)
ground (similarity: 0.60, source: cd)
assistance (similarity: 0.60, source: cd)
help (similarity: 0.60, source: cd)
aid (similarity: 0.60, source: cd)
maintenance (similarity: 0.60, source: cd)
support (similarity: 0.60, source: cd)
care (similarity: 0.60, source: cd)
convenience (similarity: 0.60, source: cd)
membership (similarity: 0.60, source: cd)
enrollment (similarity: 0.60, source: cd)
registration (similarity: 0.60, source: cd)
renewal (similarity: 0.60, source: cd)
fee (similarity: 0.60, source: cd)
payment (similarity: 0.60, source: cd)
access (similarity: 0.60, source: cd)
suggestion (similarity: 0.60, source: cd)
advice (similarity: 0.60, source: cd)
endorsement (similarity: 0.60, source: cd)
counsel (similarity: 0.60, source: cd)
proposal (similarity: 0.60, source: cd)
tip (similarity: 0.60, source: cd)
guidance (similarity: 0.60, source: recommendation)
referral (similarity: 0.60, source: recommendation)
finding (similarity: 0.60, source: recommendation)
uncovering (similarity: 0.60, source: recommendation)
revelation (similarity: 0.60, source: recommendation)
detection (similarity: 0.60, source: recommendation)
exploration (similarity: 0.60, source: recommendation)
observation (similarity: 0.60, source: recommendation)
realization (similarity: 0.60, source: recommendation)
encounter (similarity: 0.60, source: recommendation)
formula (similarity: 0.60, source: recommendation)
procedure (similarity: 0.60, source: recommendation)
process (similarity: 0.60, source: recommendation)
system (similarity: 0.60, source: recommendation)
rule (similarity: 0.60, source: recommendation)
protocol (similarity: 0.60, source: recommendation)
formula (similarity: 0.60, source: recommendation)
procedure (similarity: 0.60, source: recommendation)
process (similarity: 0.60, source: recommendation)
system (similarity: 0.60, source: recommendation)
rule (similarity: 0.60, source: recommendation)
protocol (similarity: 0.60, source: recommendation)

