# Recursive Expansion for 'art'
# Total words: 174
# API calls: 5
# Levels: 2

# Level 1 (Direct): 25 words
painting (similarity: 0.90, source: art)
inspired (similarity: 0.60, source: artistry)
attractiveness (similarity: 0.60, source: artistry)
grace (similarity: 0.60, source: artistry)
charm (similarity: 0.60, source: artistry)
loveliness (similarity: 0.60, source: artistry)
splendor (similarity: 0.60, source: artistry)
gorgeousness (similarity: 0.60, source: artistry)
prettiness (similarity: 0.60, source: artistry)
civilization (similarity: 0.60, source: artistry)
society (similarity: 0.60, source: artistry)
heritage (similarity: 0.60, source: artistry)
tradition (similarity: 0.60, source: artistry)
custom (similarity: 0.60, source: artistry)
value (similarity: 0.60, source: artistry)
belief (similarity: 0.60, source: artistry)
artifact (similarity: 0.60, source: artistry)
gift (similarity: 0.60, source: talent)
ability (similarity: 0.60, source: talent)
aptitude (similarity: 0.60, source: talent)
knack (similarity: 0.60, source: talent)
flair (similarity: 0.60, source: talent)
genius (similarity: 0.60, source: talent)
prowess (similarity: 0.60, source: talent)
proficiency (similarity: 0.60, source: talent)
competence (similarity: 0.60, source: talent)
dexterity (similarity: 0.60, source: talent)
capability (similarity: 0.60, source: talent)
novelty (similarity: 0.60, source: talent)
progress (similarity: 0.60, source: talent)
breakthrough (similarity: 0.60, source: talent)
motivation (similarity: 0.60, source: talent)
influence (similarity: 0.60, source: talent)
stimulus (similarity: 0.60, source: talent)
impulse (similarity: 0.60, source: talent)
spark (similarity: 0.60, source: talent)
drive (similarity: 0.60, source: talent)
enthusiasm (similarity: 0.60, source: talent)
magnumopus (similarity: 0.60, source: talent)
masterwork (similarity: 0.60, source: talent)
tourdeforce (similarity: 0.60, source: talent)
workofart (similarity: 0.60, source: talent)
classic (similarity: 0.60, source: talent)
gem (similarity: 0.60, source: talent)
perfection (similarity: 0.60, source: talent)
opus (similarity: 0.60, source: talent)
show (similarity: 0.60, source: performance)
presentation (similarity: 0.60, source: performance)
act (similarity: 0.60, source: performance)
display (similarity: 0.60, source: performance)
production (similarity: 0.60, source: performance)
event (similarity: 0.60, source: performance)
recital (similarity: 0.60, source: performance)
execution (similarity: 0.60, source: performance)
showcase (similarity: 0.60, source: performance)
expo (similarity: 0.60, source: performance)
fair (similarity: 0.60, source: performance)
demonstration (similarity: 0.60, source: performance)
art (similarity: 0.60, source: performance)
showroom (similarity: 0.60, source: performance)
exhibit (similarity: 0.60, source: performance)
studio (similarity: 0.60, source: performance)
salon (similarity: 0.60, source: performance)
collection (similarity: 0.60, source: performance)
institution (similarity: 0.60, source: performance)
archive (similarity: 0.60, source: performance)
repository (similarity: 0.60, source: performance)
hall (similarity: 0.60, source: performance)
center (similarity: 0.60, source: performance)
craftsman (similarity: 0.60, source: performance)
maker (similarity: 0.60, source: performance)
artist (similarity: 0.60, source: performance)
creator (similarity: 0.60, source: performance)
craftsperson (similarity: 0.60, source: performance)
artificer (similarity: 0.60, source: performance)
handicraftsman (similarity: 0.60, source: performance)
worker (similarity: 0.60, source: performance)

